_bronrij,Deelnemer ID,track_id,track_genre,Studietaak,Energieverschil,Stemmingsverschil,Moeilijkheid studie,energy,valence,tempo,danceability
221,8,,,,0.0,2.0,,,,,
222,8,5UlnuulVAVmmesw4VzqHdG,rock,,,,,0.745,0.52,77.029,0.722
223,8,,,,,,,,,,
224,8,,,,,,,,,,
225,8,39LLxExYz6ewLAcYrzQQyP,dance,,,,,0.884,0.914,103.014,0.695
225,8,3aEJbbODCrHdZh2qY6dRy1,dance,,,,,0.884,0.914,103.014,0.695
225,8,4y85iyRxpimSDOOU4ht1Rw,dance,,,,,0.884,0.914,103.014,0.695
225,8,39LLxExYz6ewLAcYrzQQyP,pop,,,,,0.884,0.914,103.014,0.695
225,8,3aEJbbODCrHdZh2qY6dRy1,pop,,,,,0.884,0.914,103.014,0.695
225,8,4y85iyRxpimSDOOU4ht1Rw,pop,,,,,0.884,0.914,103.014,0.695
226,8,7uUahoeqGNRMbpdeiLj1rS,edm,,,,,0.426,0.0636,97.91,0.495
226,8,7uUahoeqGNRMbpdeiLj1rS,electro,,,,,0.426,0.0636,97.91,0.495
227,8,,,,0.0,0.0,,,,,
228,8,,,,,,,,,,
229,8,,,,0.0,0.0,,,,,
230,8,1sWeSMifj6Z6kZyI6z3bRc,rock,,2.0,0.0,,0.851,0.309,78.086,0.365
231,8,,,,,,,,,,
232,8,,,,1.0,0.0,,,,,
233,8,,,,,,,,,,
234,8,4euAGZTszWPrriggYK0HG9,swedish,,0.0,0.0,,0.727,0.71,133.481,0.678
234,8,2245x0g1ft0HC7sf79zbYN,swedish,,0.0,0.0,,0.701,0.58,133.0,0.695
235,8,,,,,,,,,,
236,8,,,,,,,,,,
237,8,,,,,,,,,,
238,8,3Dv1eDb0MEgF93GpLXlucZ,dance,,,,,0.673,0.779,110.962,0.787
239,8,,,,,,,,,,
240,8,1sWeSMifj6Z6kZyI6z3bRc,rock,,-1.0,-1.0,,0.851,0.309,78.086,0.365
241,8,,,,,,,,,,
242,8,,,,1.0,1.0,,,,,
243,8,2eQeO6nn2hMaMECtoWMT6y,dubstep,,1.0,0.0,,0.785,0.229,170.071,0.44
244,8,,,,,,,,,,
245,8,,,,,,,,,,
246,8,2eQeO6nn2hMaMECtoWMT6y,dubstep,,,,,0.785,0.229,170.071,0.44
247,8,,,,,,,,,,
248,8,,,Computer programming,,,1.0,,,,
249,8,,,,,,,,,,
250,8,,,Maths / arithmetics,,,1.0,,,,
251,8,,,Maths / arithmetics,,,1.0,,,,
252,8,,,,0.0,0.0,,,,,
253,8,,,,0.0,1.0,,,,,
254,8,,,,,,,,,,
255,8,,,,0.0,-1.0,,,,,
256,8,,,,,,,,,,
257,8,,,,,,,,,,
258,8,,,,,,,,,,
259,8,5UlnuulVAVmmesw4VzqHdG,rock,,,,,0.745,0.52,77.029,0.722
260,8,,,,,,,,,,
261,8,,,,,,,,,,
262,8,,,,,,,,,,
263,8,,,,,,,,,,
264,8,,,,,,,,,,
265,8,,,,,,,,,,
266,8,,,,,,,,,,
267,8,3JyvSSU0VnlMUsQckyEVfX,alt-rock,,,,,0.701,0.18,76.918,0.497
268,8,,,Computer programming,,,0.0,,,,
269,8,,,,,,,,,,
270,8,,,,,,,,,,
271,8,,,,,,,,,,
272,8,,,,,,,,,,
273,8,,,Computer programming,,,1.0,,,,
274,8,,,,,,,,,,
275,8,,,Computer programming,,,-1.0,,,,
276,8,,,,,,,,,,
277,8,,,Computer programming,,,-1.0,,,,
278,9,,,"Writing an assignment (e.g., essay)",,,1.0,,,,
279,9,1dGr1c8CrMLDpV6mPbImSI,pop,"Writing an assignment (e.g., essay)",,,1.0,0.543,0.453,68.534,0.359
